tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
113,4/30/2016 16:37:18,4/30/2016 16:39:11,146,Hudson St & Reade St,40.71625008,-74.0091059,146,Hudson St & Reade St,40.71625008,-74.0091059,15585,Subscriber,1990.0,2
205,4/30/2016 16:37:14,4/30/2016 16:40:40,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,447,8 Ave & W 52 St,40.76370739,-73.9851615,19387,Subscriber,1964.0,1
148,4/30/2016 16:37:15,4/30/2016 16:39:44,224,Spruce St & Nassau St,40.71146364,-74.00552427,224,Spruce St & Nassau St,40.71146364,-74.00552427,20067,Customer,,0
1717,4/30/2016 16:37:17,4/30/2016 17:05:55,433,E 13 St & Avenue A,40.72955361,-73.98057249,3092,Berry St & N 8 St,40.7190095,-73.95852515,16755,Subscriber,1992.0,2
299,4/30/2016 16:37:18,4/30/2016 16:42:18,389,Broadway & Berry St,40.71044554,-73.96525063,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,23949,Subscriber,1976.0,1
252,4/30/2016 16:37:19,4/30/2016 16:41:31,383,Greenwich Ave & Charles St,40.735238,-74.000271,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,22701,Subscriber,1994.0,1
1390,4/30/2016 16:37:19,4/30/2016 17:00:29,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,508,W 46 St & 11 Ave,40.76341379,-73.99667444,15468,Customer,,0
1016,4/30/2016 16:37:18,4/30/2016 16:54:15,423,W 54 St & 9 Ave,40.76584941,-73.98690506,499,Broadway & W 60 St,40.76915505,-73.98191841,16691,Customer,,0
1421,4/30/2016 16:37:19,4/30/2016 17:01:01,224,Spruce St & Nassau St,40.71146364,-74.00552427,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,17471,Customer,,0
3658,4/30/2016 16:37:21,4/30/2016 17:38:19,2008,Little West St & 1 Pl,40.70569254,-74.01677685,2008,Little West St & 1 Pl,40.70569254,-74.01677685,16899,Customer,,0
